Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Pokémon Fushigi no Dungeon Ao no Ky?jotai (Pokémon Donjon Mystère : Équipe de Secours Bleue);Pokémon Fushigi no Dungeon Ao no Ky?jotai;Pokémon Donjon Mystère : Équipe de Secours Bleue;Nintendo DS;Fini;76;;;POSSEDE;10/11/2006;18/09/2006;;Nintendo;Chunsoft;15.0;16.2778;36.0;RPG;Action
Pokemon Fushigi no Dungeon: Toki no Tankentai (Pokémon Donjon Mystère : Explorateurs du Temps);Pokemon Fushigi no Dungeon: Toki no Tankentai;Pokémon Donjon Mystère : Explorateurs du Temps;Nintendo DS;Fini;23;;;POSSEDE;;;;Nintendo;Chunsoft;17.0;16.7778;18.0;RPG;Action
Pokémon GO;Pokémon GO;;iOS;Joué;85;;;POSSEDE;24/07/2016;05/07/2016;22/07/2016;Niantic Labs;The Pkmn Company International;;14.8889;27.0;Aventure;
Pokémon Quest;Pokémon Quest;;Nintendo Switch;Joué;1;;;POSSEDE;30/05/2018;30/05/2018;30/05/2018;Nintendo;The Pkmn Company International;;12.9167;12.0;Action;RPG
Pocket Monsters Omega Ruby (Pokémon Rubis Omega);Pocket Monsters Omega Ruby;Pokémon Rubis Omega;Nintendo 3DS;Fini;53;;;POSSEDE;28/11/2014;21/11/2014;21/11/2014;Nintendo;Game Freak;16.0;16.7258;62.0;RPG;
Pokémon Shuffle;Pokémon Shuffle;;Nintendo 3DS;Joué;5;;;POSSEDE;18/02/2015;18/02/2015;;Nintendo;Nintendo;;13.7692;13.0;Puzzle-Game;
Pocket Monsters Sun (Pokémon Soleil);Pocket Monsters Sun;Pokémon Soleil;Nintendo 3DS;Joué;11;;;POSSEDE;23/11/2016;18/11/2016;18/11/2016;Nintendo;Game Freak;;14.9825;57.0;RPG;Aventure
Pocket Monsters Gin (Pokémon Version Argent);Pocket Monsters Gin;Pokémon Version Argent;GameBoy Color;Fini;0;;;POSSEDE;06/04/2001;14/10/2000;21/11/1999;Nintendo;Game Freak;18.0;17.2676;142.0;RPG;
Pocket Monsters White (Pokémon Version Blanche);Pocket Monsters White;Pokémon Version Blanche;Nintendo DS;Fini;39;;;POSSEDE;04/03/2011;06/03/2011;18/09/2010;Nintendo;Game Freak;16.0;15.5735;68.0;Aventure;RPG
Pocket Monsters Ao (Pokémon Version Bleue);Pocket Monsters Ao;Pokémon Version Bleue;GameBoy;Fini;0;;;POSSEDE;08/10/1999;30/09/1998;15/10/1996;Nintendo;Nintendo;17.0;17.2;155.0;RPG;
Pocket Monsters Crystal Version (Pokémon Version Cristal);Pocket Monsters Crystal Version;Pokémon Version Cristal;GameBoy Color;Fini;94;;;POSSEDE;02/11/2001;19/07/2001;14/12/2000;Nintendo;Game Freak;17.0;16.9344;61.0;RPG;
